rules	support	confidence	lift	count
{Fitz and The Tantrums} => {TWICE(트와이스)}	0.0617977528089888	0.891891891891892	3.13335704125178	33
{Camila Cabello} => {펀치(Punch)}	0.052434456928839	0.756756756756757	10.3617463617464	28
{펀치(Punch)} => {Camila Cabello}	0.052434456928839	0.717948717948718	10.3617463617464	28
{Camila Cabello} => {멜로망스(Melomance)}	0.052434456928839	0.756756756756757	8.24710424710425	28
{Camila Cabello} => {Wanna One(워너원)}	0.050561797752809	0.72972972972973	6.71854613233924	27
{Camila Cabello} => {뉴이스트(NU'EST)}	0.0636704119850187	0.918918918918919	6.63111760409058	34
{Camila Cabello} => {뉴이스트 W}	0.052434456928839	0.756756756756757	5.38810810810811	28
{Camila Cabello} => {볼빨간사춘기}	0.0561797752808989	0.810810810810811	3.97222910984379	30
{Camila Cabello} => {BLACKPINK}	0.0636704119850187	0.918918918918919	4.50185965782296	34
{Camila Cabello} => {Red Velvet (레드벨벳)}	0.052434456928839	0.756756756756757	3.0847947183825	28
{Camila Cabello} => {TWICE(트와이스)}	0.0617977528089888	0.891891891891892	3.13335704125178	33
{Camila Cabello} => {아이유(IU)}	0.050561797752809	0.72972972972973	1.33909166898858	27
{The Chainsmokers} => {BLACKPINK}	0.0561797752808989	0.833333333333333	4.08256880733945	30
{The Chainsmokers} => {TWICE(트와이스)}	0.050561797752809	0.75	2.63486842105263	27
{The Chain..} => {Ed Sheeran}	0.052434456928839	0.736842105263158	4.74064679771718	28
{The Chain..} => {볼빨간사춘기}	0.050561797752809	0.710526315789474	3.48092708836311	27
{The Chain..} => {BLACKPINK}	0.0561797752808989	0.789473684210526	3.8676967648479	30
{The Chain..} => {마마무(Mamamoo)}	0.050561797752809	0.710526315789474	3.08472400513479	27
{The Chain..} => {Red Velvet (레드벨벳)}	0.0580524344569288	0.815789473684211	3.32543190036159	31
{The Chain..} => {TWICE(트와이스)}	0.0636704119850187	0.894736842105263	3.14335180055402	34
{The Chain..} => {아이유(IU)}	0.0561797752808989	0.789473684210526	1.44872490504612	30
{아이오아이 (I.O.I)} => {TWICE(트와이스)}	0.0543071161048689	0.852941176470588	2.99651702786378	29
{펀치(Punch)} => {멜로망스(Melomance)}	0.0561797752808989	0.769230769230769	8.38304552590267	30
{멜로망스(Melomance)} => {펀치(Punch)}	0.0561797752808989	0.612244897959184	8.38304552590267	30
{펀치(Punch)} => {Wanna One(워너원)}	0.050561797752809	0.692307692307692	6.37400530503979	27
{펀치(Punch)} => {뉴이스트(NU'EST)}	0.0674157303370786	0.923076923076923	6.66112266112266	36
{펀치(Punch)} => {뉴이스트 W}	0.0561797752808989	0.769230769230769	5.47692307692308	30
{펀치(Punch)} => {Ed Sheeran}	0.050561797752809	0.692307692307692	4.45412418906395	27
{펀치(Punch)} => {WINNER}	0.050561797752809	0.692307692307692	3.69692307692308	27
{펀치(Punch)} => {볼빨간사춘기}	0.0580524344569288	0.794871794871795	3.89414255469301	31
{펀치(Punch)} => {BLACKPINK}	0.0692883895131086	0.948717948717949	4.64784756527876	37
{펀치(Punch)} => {Red Velvet (레드벨벳)}	0.052434456928839	0.717948717948718	2.92660011743981	28
{펀치(Punch)} => {TWICE(트와이스)}	0.0674157303370786	0.923076923076923	3.24291497975709	36
{펀치(Punch)} => {아이유(IU)}	0.0580524344569288	0.794871794871795	1.45863071636268	31
{폴킴} => {뉴이스트(NU'EST)}	0.0655430711610487	0.853658536585366	6.16018457481872	35
{폴킴} => {뉴이스트 W}	0.0711610486891386	0.926829268292683	6.5990243902439	38
{폴킴} => {iKON}	0.0543071161048689	0.707317073170732	4.66305329719964	29
{폴킴} => {볼빨간사춘기}	0.0599250936329588	0.780487804878049	3.82367420004475	32
{폴킴} => {BLACKPINK}	0.0636704119850187	0.829268292682927	4.06265383754755	34
{폴킴} => {TWICE(트와이스)}	0.0674157303370786	0.878048780487805	3.08472400513479	36
{폴킴} => {아이유(IU)}	0.0617977528089888	0.804878048780488	1.47699270807141	33
{PRODUCE 101} => {크러쉬(CRUSH)}	0.050561797752809	0.771428571428571	3.92326530612245	27
{PRODUCE 101} => {TWICE(트와이스)}	0.0561797752808989	0.857142857142857	3.01127819548872	30
{Pharrell Williams} => {아이유(IU)}	0.052434456928839	0.777777777777778	1.42726231386025	28
{GOT7 (갓세븐)} => {아이유(IU)}	0.0561797752808989	0.769230769230769	1.41157811260904	30
{모모랜드(MOMOLAND)} => {뉴이스트(NU'EST)}	0.0692883895131086	0.902439024390244	6.51219512195122	37
{모모랜드(MOMOLAND)} => {뉴이스트 W}	0.0674157303370786	0.878048780487805	6.25170731707317	36
{모모랜드(MOMOLAND)} => {iKON}	0.0674157303370786	0.878048780487805	5.78861788617886	36
{모모랜드(MOMOLAND)} => {볼빨간사춘기}	0.0580524344569288	0.75609756097561	3.70418438129335	31
{모모랜드(MOMOLAND)} => {BLACKPINK}	0.0655430711610487	0.853658536585366	4.18214365629895	35
{모모랜드(MOMOLAND)} => {TWICE(트와이스)}	0.0730337078651685	0.951219512195122	3.34178433889602	39
{모모랜드(MOMOLAND)} => {아이유(IU)}	0.0580524344569288	0.75609756097561	1.38747799849133	31
{박원} => {Wanna One(워너원)}	0.0561797752808989	0.681818181818182	6.27742946708464	30
{박원} => {뉴이스트(NU'EST)}	0.0561797752808989	0.681818181818182	4.92014742014742	30
{박원} => {뉴이스트 W}	0.0599250936329588	0.727272727272727	5.17818181818182	32
{박원} => {Ed Sheeran}	0.0543071161048689	0.659090909090909	4.24041621029573	29
{박원} => {WINNER}	0.052434456928839	0.636363636363636	3.39818181818182	28
{박원} => {헤이즈(Heize)}	0.0692883895131086	0.840909090909091	4.35966460723742	37
{박원} => {볼빨간사춘기}	0.0674157303370786	0.818181818181818	4.00834028356964	36
{박원} => {BLACKPINK}	0.0674157303370786	0.818181818181818	4.00834028356964	36
{박원} => {Red Velvet (레드벨벳)}	0.0655430711610487	0.795454545454545	3.24253990284525	35
{박원} => {TWICE(트와이스)}	0.0730337078651685	0.886363636363636	3.11393540669856	39
{박원} => {아이유(IU)}	0.050561797752809	0.613636363636364	1.12605435801312	27
{김예림} => {EXO}	0.052434456928839	0.777777777777778	3.70833333333333	28
{이현} => {아이유(IU)}	0.0543071161048689	0.743589743589744	1.36452550885541	29
{규현(KYUHYUN)} => {소유}	0.050561797752809	0.658536585365854	4.34146341463415	27
{멜로망스(Melomance)} => {Wanna One(워너원)}	0.0599250936329588	0.653061224489796	6.01266713581984	32
{멜로망스(Melomance)} => {뉴이스트(NU'EST)}	0.0861423220973783	0.938775510204082	6.77440706012135	46
{뉴이스트(NU'EST)} => {멜로망스(Melomance)}	0.0861423220973783	0.621621621621622	6.77440706012135	46
{멜로망스(Melomance)} => {뉴이스트 W}	0.0786516853932584	0.857142857142857	6.10285714285714	42
